Author	All	Since 2014	LC	User
Eustache Mêgnigbêto	252	209	Yes	xQk_UhwAAAAJ
Ifeanyi J. Ezema	431	345	Yes	F2H7yXYAAAAJ
Kiran Savanur	147	89	No	gBF2E2kAAAAJ
Orlando Gregorio-Chaviano	201	132	Yes	vXs3C_4AAAAJ
Sudhier K G Pillai	298	241	No	HoklJecAAAAJ
Qi Yu	360	337	No	oY9YOksAAAAJ
M. Surulinathi	270	233	No	67aYPh8AAAAJ
Daniel Wadskog	123	59	Yes	89N1ZusAAAAJ
Penghui LYU	296	267	No	cb11PTMAAAAJ
Stacy Konkiel	289	263	Yes	eslVzYQAAAAJ
Yaniris Rodríguez-Sánchez	166	102	Yes	sJAtp0oAAAAJ
vaishali khaparde	274	241	Yes	g7fxPrIAAAAJ
Rita Pinheiro-Machado	120	44	No	2HcFDnIAAAAJ
Nadine Rons	125	75	No	vC_asmQAAAAJ
Samir Kumar Jalal	144	95	Yes	tEB2e6AAAAAJ
Bidyarthi Dutta	121	75	Yes	yKjT-_oAAAAJ
Rosane Taruhn	78	13	Yes	swkc2vcAAAAJ
Rahman Marefat	106	37	No	ocpS_koAAAAJ
Aneta Drabek	225	160	Yes	vG4GfIMAAAAJ
Eric Ackermann	104	56	No	FmJM2lUAAAAJ
Valeria Molteni	125	79	Yes	SWEPI9oAAAAJ
Hafez Mohammadhassanzadeh	188	153	No	H1wzzp4AAAAJ
Alfonso Ibáñez	167	135	No	5rxP66IAAAAJ
Emma Georgina Santillán Rivero	100	37	Yes	OsNNp2gAAAAJ
Rachel Borchardt	299	278	Yes	diGghEEAAAAJ
Gali Halevi	713	681	Yes	HeSsXtcAAAAJ
Frederik Verleysen	446	412	Yes	ihw-HskAAAAJ
Juan Manuel Ayllón Millán	526	512	No	iy8GqLsAAAAJ
Yusnelkis Milanes-Guisado	188	142	No	hpzZBKMAAAAJ
Alberto Martín-Martín	1060	1056	Yes	YlPd48UAAAAJ
Rahim Alijani	159	114	No	Em2Y9HkAAAAJ
Mariano A. Maura	64	23	Yes	hb17p14AAAAJ
R. Karpagam	167	141	No	DrGcnCQAAAAJ
N. Amsaveni	195	160	No	rfcweEMAAAAJ
Mahmood Khosrowjerdei	143	111	No	z2NhIWcAAAAJ
Sibele Fausto	195	164	Yes	gGiALDIAAAAJ
Farshid Danesh	150	94	No	ciiPCnkAAAAJ
Clifford Tatum	99	66	No	zp_A9W0AAAAJ
Andrea Twiss-Brooks	92	56	Yes	GJB9xKAAAAAJ
SA Sanni	134	109	Yes	M8Ek5N8AAAAJ
Tamy Chambers	317	301	No	WHSYbnMAAAAJ
Saeed Ul Hassan	477	467	No	gwgHFBQAAAAJ
Marijan Šember	83	52	No	iXCVrZ8AAAAJ
maryam shekofteh	129	96	Yes	KFidCf0AAAAJ
Muzammil Tahira	155	127	Yes	hgFl7zcAAAAJ
Antonio Eleazar Serrano López	172	157	No	DMTmg8QAAAAJ
Jose Morillo-Velarde Serrano	44	10	Yes	UkdVDTIAAAAJ
Tetiana Symonenko	186	146	No	a8omQ7sAAAAJ
Amir Reza Asnafi	108	68	No	6J3viSAAAAAJ
Mohammad K. saberi	105	90	No	uKsbYesAAAAJ
G. Rathinasabapathy	223	189	Yes	8fEZ4vIAAAAJ
Rosa Scoble	276	262	Yes	nh3RQHQAAAAJ
Faramarz Soheili	193	160	Yes	3sNIdnwAAAAJ
Diego Marcos Cartagena	65	47	Yes	LaVtLncAAAAJ
Jongwook Lee	151	120	No	wS-igqcAAAAJ
Chris Belter	302	290	Yes	pvilbloAAAAJ
B. Elango	261	252	Yes	vhOetx0AAAAJ
Ashraf Sharif	67	35	No	id6IUVwAAAAJ
Sada Bihari Sahu	70	54	Yes	KXC96icAAAAJ
M Manjunath	39	21	No	o1_6bbsAAAAJ
Nobuko Miyairi	60	50	No	3vVGgksAAAAJ
Mohammad Reza ghane	57	36	No	gxg1Ex0AAAAJ
Mirza Muhammad Naseer	126	97	Yes	jqp6orwAAAAJ
Rabindra K. Maharana	207	195	No	uRMBVHQAAAAJ
Chatree Wongkaew	63	45	No	XO0NxGIAAAAJ
Elena Kabakova (Елена Кабакова)	103	103	No	O-RBcqwAAAAJ
Haydar Yalcin	214	175	Yes	roWLf5ybkSIC
Jens Peter Andersen	146	131	Yes	dlxHlskAAAAJ
Christopher Erdmann	103	86	No	gz9GRnkAAAAJ
Jan Maluleka	130	117	Yes	eyz46HQAAAAJ
Raja S	81	71	No	DsajesAAAAAJ
Philippe Mongeon	1440	1428	Yes	wvX4S8sAAAAJ
Alvaro Roldán López	39	14	Yes	YSF9w9cAAAAJ
Alexis Moreno-Pulido	99	90	No	AIBImP8AAAAJ
Leslie Adriaanse	152	141	Yes	K1vf73MAAAAJ
Gabriel Peterson	39	20	Yes	xcQ4EKwAAAAJ
Chandran Velmurugan	399	380	Yes	z5rNJbEAAAAJ
Kamal Badar	132	125	Yes	EdrXAn4AAAAJ
Jill Lagerstrom	35	16	Yes	Fv3Z0OkAAAAJ
Ephrance Abu Ujum	88	79	Yes	unuq524AAAAJ
Held Barbosa de Souza	28	10	No	iKpOdXYAAAAJ
María Ayala-Gascón	29	18	No	ObLZLL4AAAAJ
Sergio Carbonell de la Fé	65	39	Yes	qnoeT3MAAAAJ
Jenny Delasalle	64	52	No	sQRxiakAAAAJ
Filistéa Naudé	70	54	Yes	-mQvjwQAAAAJ
Maryam Keshvari	54	45	No	LzT2pvsAAAAJ
AK Sahu	34	27	No	MF_xvfMAAAAJ
Maria-Josefa Peralta-Gonzalez	147	132	No	pXwlUd0AAAAJ
Soyoung Yu	90	70	No	17aF9jMAAAAJ
Antonio J. Gómez-Núñez	107	99	No	x1aHyl4AAAAJ
Koteppa Banateppanvar	59	58	No	-QOxZ0sAAAAJ
Franjo Pehar	60	44	Yes	Gszh79kAAAAJ
Adrián A. Díaz-Faes	168	158	Yes	qbu_JY4AAAAJ
Morteza Hemmat	75	69	No	N6Ve0FMAAAAJ
Prabir Kumar Das	46	39	No	NE2EtI4AAAAJ
Josmel Pacheco Mendoza	290	278	No	zpIV64QAAAAJ
Iara Vidal Pereira de Souza	41	41	No	HmmGTO0AAAAJ
Susana Sánchez -Gil	18	9	No	cDfe23oAAAAJ
Yoscelina Iraida Hernández García	39	33	No	h2Kdvb4AAAAJ
Jonathan Bull	88	88	No	ZbJm420AAAAJ
Gireesh A. Ganjihal	23	14	No	ssBp-tEAAAAJ
Liliia A. Luparenko	339	334	No	VnRkSDcAAAAJ
Joel Alhuay Quispe	65	63	No	CQFyK7sAAAAJ
Peter Sjögårde	26	24	Yes	jGc8a3wAAAAJ
K.P.S. Sengar	17	16	No	Ow0QPOEAAAAJ
P Ashok Kumar	38	35	No	_QL0MvsAAAAJ
N.Tamilselvan	49	39	No	au1luQYAAAAJ
P. Ramkumar	18	14	No	lTqftNMAAAAJ
Ali Mardaninezhad	2	2	No	UEc6aXUAAAAJ
John Jeyasekar Jesubright	82	82	Yes	XaTWCBYAAAAJ
Rasoul Zavaraqi	88	70	No	_TEKQ1cAAAAJ
Sheikh Mohammed Shahabuddin	16	14	No	hOU3aPIAAAAJ
Saravanan G.	36	32	No	LGzVAH8AAAAJ
Jayendra Kumar Singh	49	46	No	xbMaJPQAAAAJ
Fatima Baji	22	16	No	3p1TvUIAAAAJ
Ismael Mostafavi	10	10	No	88B_ex0AAAAJ
Adèle Paul-Hus	719	717	Yes	ZsZex3IAAAAJ
Irina Trofimchuk (Ирина Трофимчук)	6	6	No	cgL7j-4AAAAJ
Subhodip Bid	14	13	No	fleMn7cAAAAJ
Shivaranjini Mogali	23	22	No	GNfsVCIAAAAJ
Aref Riahi	97	96	No	paBT-KoAAAAJ
Rahila Sh. Hasanova	16	15	No	x4RIiYcAAAAJ
