author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
Vicente Pablo Guerrero Bote	Guerrero Bote, Vicente Pablo	7	7	1	7	np-guerrero%20bote,%20vicente%20pablo	Web	TRUE
Vicente Pablo Guerrero Bote	Guerrero-Bote, Vicente	2	2	1	55	np-guerrero%20bote,%20vicente	Web	TRUE
Lennart Björneborn	Björneborn, Lennart	6	11	2	14	viaf-307221567	API	FALSE
Eric Archambault	Archambault, Éric	26	37	2	180	np-archambault,%20eric	API	TRUE
Eric Archambault	Archambault, Éric 1964-	2	4	2	6	np-archambault,%20eric$1964	Web	TRUE
Eric Archambault	Archambault, Eric J. A.	1	2	1	2	np-archambault,%20eric%20j%20a	Web	TRUE
Alan Pritchard	Pritchard, Alan 1941-	38	143	1	1598	lccn-n50022603	Web	TRUE
Alan Pritchard	Pritchard, Alan	40	56	1	917	np-pritchard,%20alan	API	TRUE
Giovanni Abramo	Abramo, Giovanni	18	21	2	23	viaf-90176484	API	FALSE
Massimo Franceschet	Franceschet, Massimo	9	11	1	35	viaf-4359149198333574940005	API	TRUE
Massimo Franceschet	Franceshet, Massimo	1	1	1	1	np-franceshet,%20massimo	Web	TRUE
Antonio Gutierrez Gracia	García Gutiérrez, Antonio	41	98	2	1.332	lccn-n84158906	Web	TRUE
Antonio Gutierrez Gracia	Gutiérrez Gracia, Antonio	2	3	2	3	np-gutierrez%20gracia,%20antonio	Web	TRUE
Antonio Gutierrez Gracia	Gutiérrez García, Antonio	1	1	1	1	np-gutierrez%20garcia,%20antonio	Web	TRUE
Antonio Gutierrez Gracia	García Gutiérrez, Antonio Luis	3	6	1	12	viaf-311365791	Web	TRUE
Ciriaco Andrea D'Angelo	D'Angelo, Ciriaco Andrea	16	16	1	16	np-dangelo,%20ciriaco%20andrea	API	TRUE
Ciriaco Andrea D'Angelo	Ciriaco Andrea D'Angelo	3	3	1	3	np-ciriaco%20andrea%20dangelo	Web	TRUE
