author	total_holdings	work_count	record_count	All	Since 2014	User	Bibliometrics	Figure	Status	University	lang
Elias Sanz-Casado	119	26	40	1944	962	Y0EL1yIAAAAJ	Yes	Professor	Active	University Carlos III of Madrid	3
Emanuela Reale	172	35	68	2058	1260	0InLmQIAAAAJ	Yes	Researcher	Active	IRCrES-CNR	2
Emilio Delgado López-Cózar	196	25	58	6156	3849	kyTHOh0AAAAJ	Yes	Professor	Active	Universidad de Granada	3
Emma Georgina Santillán Rivero	1	1	1	100	37	OsNNp2gAAAAJ	Yes	Librarian	Active	CINESTAV	1
Enrique Orduna-Malea	458	11	44	1493	1391	g6bEUdkAAAAJ	Yes	Professor	Active	Universita de Valencia	2
Ephrance Abu Ujum	1	1	1	88	79	unuq524AAAAJ	Yes	Professor	Retired	University of Malaya	1
Eric Archambault	188	29	43	3116	1994	lwTJW3oAAAAJ	Yes	Researcher	Active	Science-Metrix and 1science	2
Erjia Yan	11	3	3	2479	1931	Nomi_U0AAAAJ	Yes	Professor	Active	Drexel University	1
Ernesto Spinak	26	11	18	1536	745	ay4sWXfG4AwJ	Yes	Librarian	Active	independent consultant	3
Eugene Garfield*	3399	148	448	30681	9590	26U7IAEAAAAJ	Yes	Researcher	Deceased	Institute for Scientific Information	6
Eustache Mêgnigbêto	10	3	5	252	209	xQk_UhwAAAAJ	Yes	Librarian	Active	University of Antwerp	2
Evaristo Jimenez-Contreras	57	20	33	3132	1411	EJ34B9wAAAAJ	Yes	Professor	Active	University of Granada	1
Faramarz Soheili	2	2	2	193	160	3sNIdnwAAAAJ	Yes	Researcher	Active	Payame Noor University	1
Farideh Osareh	1	1	1	1111	464	tDmKKbgAAAAJ	Yes	Professor	Active	University of Ahvaz	1
Fereshteh Didegah	2	2	2	949	849	pG0Ynb8AAAAJ	Yes	Professor	Active	University of British Columbia	1
Filistéa Naudé	150	3	7	70	54	-mQvjwQAAAAJ	Yes	Librarian	Active	University of South Africa	1
Fiorenzo Franceschini	2042	28	98	5012	2726	xYb-EPwAAAAJ	Yes	Professor	Active	Politecnico di Torino 	3
Francis Narin	422	46	96	15582	4433	ZZ56uad45oYC	Yes	Researcher	Retired	CHI Research	1
Francisco Collazo	8	8	8	357	245	MFR_KSYAAAAJ	Yes	Researcher	Active	Centro de InvestigaciÓN de Estudios Avanzados	1
Franjo Pehar	31	3	6	60	44	Gszh79kAAAAJ	Yes	Professor	Active	University of Zadar	2
Frederik Verleysen	4	4	4	446	412	ihw-HskAAAAJ	Yes	Professor	Active	University of Antwerp	2
Fredrik Åström	380	20	35	1095	795	OtuV1tt6WzEC	Yes	Professor	Active	Lund University	2
Félix de Moya Anegón	799	32	85	9367	5048	IvruGDUAAAAJ	Yes	Researcher	Active	Independiente	4
G Steven McMillan	4	3	4	1338	405	iLZ3yDEAAAAJ	Yes	Professor	Active	Penn State Abington	1
G. Galyani	1	1	1	359	204	chsTGtEAAAAJ	Yes	Professor	Active	Allameh Tabataba'i University	1
G. Rathinasabapathy	10	3	3	223	189	8fEZ4vIAAAAJ	Yes	Librarian	Active	Tamil Nadu Veterinary and Animal Sciences University	1
Gabriel Peterson	4	2	2	39	20	xcQ4EKwAAAAJ	Yes	Professor	Active	North Carolina Central University	1
Gali Halevi	6	1	1	713	681	HeSsXtcAAAAJ	Yes	Librarian	Active	Mount Sinai - New York	1
Georgios Paltoglou	382	4	15	5225	4178	NIp713AAAAAJ	Yes	Researcher	Active	European Commission	1
Giovanni Abramo	23	18	21	4105	3253	xPBDwzcAAAAJ	Yes	Researcher	Active	Italian National Research Council	2
Gohar Feroz Khan	459	8	43	1377	1213	W2MXc50AAAAJ	Yes	Professor	Active	University of Waikato	2
Gonzalo Ordonez-Matamoros	91	10	20	624	466	WSUZlUcAAAAJ	Yes	Professor	Active	University of Twente	2
Guido Van Hooydonk	64	10	29	1305	366	PjjpXccAAAAJ	Yes	Professor	Emeritus	Ghent University	4
HD Daniel	1351	36	92	7942	4080	G1e3DVcAAAAJ	Yes	Professor	Active	ETH Zurich	2
Hajar Sotudeh	1	1	1	284	215	bdJlRbMAAAAJ	Yes	Professor	Active	Shiraz University	1
Haydar Yalcin	14	5	7	214	175	roWLf5ybkSIC	Yes	Professor	Active	Izmir Katip Celebi Universitesi	1
Hedman Juha	10	6	9	483	246	AvHE6wcAAAAJ	Yes	Researcher	Active	University of Turku	2
Henk F. Moed	2398	49	169	13408	5801	qgrbFW8AAAAJ	Yes	Researcher	Emeritus	Leiden University	5
Henry Small	362	36	69	11540	4245	gUqJmFUAAAAJ	Yes	Researcher	Retired	Institute for Scientific Information	1
Hervé Rostaing	35	10	15	489	108	94SETOkAAAAJ	Yes	Professor	Active	Aix-Marseille University	1
Heting Chu	525	14	56	1671	602	7UF7ZQcAAAAJ	Yes	Professor	Active	Long Island University	2
Howard D. White	1821	18	63	7980	2584	6jKyyX0AAAAJ	Yes	Professor	Emeritus	Drexel University	1
Hyunseok Park	2	1	2	864	829	hs_siRcAAAAJ	Yes	Professor	Active	Hanyang University	1
I.K. Ravichandra Rao	342	28	70	997	302	Ozk_6FsAAAAJ	Yes	Researcher	Active	 Indian Statistical Institute	3
Ian Rowlands	2090	25	103	5330	2635	N6kcUMwAAAAJ	Yes	Professor	Active	University of Waterloo	1
Ifeanyi J. Ezema	8	3	3	431	345	F2H7yXYAAAAJ	Yes	Professor	Active	University of Nigeria	1
Isidro F. Aguillo	258	28	41	3596	1844	SaCSbeoAAAAJ	Yes	Researcher	Active	CSIC	2
Ismael Rafols	8	6	7	7068	5019	puqLKfsAAAAJ	Yes	Researcher	Active	University of Leiden	2
J Sylvan Katz	151	15	28	5745	2524	nx4kZtIAAAAJ	Yes	Researcher	Active	Ergonic Resources Ltd., Saskatoon, SK., Canada	2
J. Carlos García-Zorita	5	5	5	609	341	M5NYl_MAAAAJ	Yes	Professor	Active	Universidad Carlos III	1
Jadranka Stojanovski	6	4	4	264	184	MlH_ohgAAAAJ	Yes	Librarian	Active	Rudjer Boskovic Institute Library	2
Jan Maluleka	11	4	4	130	117	eyz46HQAAAAJ	Yes	Professor	Active	University of South Africa	1
Jan Youtie	580	34	48	4767	2917	MYOwwTUAAAAJ	Yes	Researcher	Active	Georgia Institute of Technology	1
Javier Ruiz-Castillo	1187	172	302	3485	1448	7LCYds0AAAAJ	Yes	Professor	Active	Universidad Carlos III	2
Jens Peter Andersen	4	1	3	146	131	dlxHlskAAAAJ	Yes	Professor	Active	Aarhus University	1
Jens Terliesner	0	1	1	560	505	7SA5PYYAAAAJ	Yes	Professor	Active	Heinrich-Heine-University Düsseldorf	1
Jeppe Nicolaisen	11	8	10	933	507	4tCxUq4AAAAJ	Yes	Professor	Active	University of Copenhagen	2
Jesper W. Schneider	21	8	12	1771	1380	rlZGQaUAAAAJ	Yes	Professor	Active	Aarhus University	2
Jevin D. West	8	5	6	3000	2232	db5ZPlkAAAAJ	Yes	Professor	Active	University of Washington	1
Jill Lagerstrom	40	1	2	35	16	Fv3Z0OkAAAAJ	Yes	Librarian	Active	Barnard College	1
Joaquín M. Azagra-Caro	3	3	3	1149	565	pIaZNpcAAAAJ	Yes	Researcher	Active	ingenio CSIC-UPV	2
Johan Bollen	124	7	15	11838	7787	jDmcdsUAAAAJ	Yes	Professor	Active	Indiana University	2
John Irvine	1976	17	107	3743	663	F8-v-sAAAAAJ	Yes	Other professionals	Active	Latchi Watersports Centre	3
John Jeyasekar Jesubright	51	3	8	82	82	XaTWCBYAAAAJ	Yes	Librarian	Active	Forensic Sciences Department, Chennai	1
John Rigby	375	48	63	1065	652	SKVHHa0AAAAJ	Yes	Researcher	Active	Manchester Institute of Innovation Research	2
John S. Liu	1	1	1	2294	2043	FO1h7c0AAAAJ	Yes	Professor	Active	National Taiwan University of Science and Technology	1
Jose Antonio Torres-Reyes	5	2	4	151	52	4GU8zdoAAAAJ	Yes	Professor	Active	Universidad Autónoma de Nuevo León	1
Jose Maria López Piñero	5562	753	1839	7276	1644	oOenW_8AAAAJ	Yes	Researcher	Deceased	CSIC	5
Jose Morillo-Velarde Serrano	7	4	4	44	10	UkdVDTIAAAAJ	Yes	Librarian	Active	Universidad Carlos III	1
Jose Navarrete	5	5	5	503	211	jXhMj4MAAAAJ	Yes	Librarian	Active	Universidad de Jaén	1
José Luis Ortega	1111	34	64	2405	1470	jYqQRWgAAAAJ	Yes	Researcher	Active	CSIC	3
Juan Gorraiz	36	13	17	1378	1098	DkjpltQAAAAJ	Yes	Librarian	Active	University of Vienna	3
