author	author_id	lang	count
Antonio Gutierrez Gracia	np-gutierrez%20garcia,%20antonio	spa	1
Antonio Gutierrez Gracia	viaf-311365791	spa	6
Ciriaco Andrea D'Angelo	np-dangelo,%20ciriaco%20andrea	ita	16
Ciriaco Andrea D'Angelo	np-ciriaco%20andrea%20dangelo	ita	3
Ciriaco Andrea D'Angelo	np-dangelo,%20c%20andrea	ita	1
Ciriaco Andrea D'Angelo	np-dangelo,%20andrea%20ciriaco	ita	1
Ciriaco Andrea D'Angelo	np-dangelo,%20ciriaco	ita	2
Mario Coccia	viaf-88137886	ita	28
Mario Coccia	viaf-88137886	eng	12
Mario Coccia	np-mario%20coccia	eng	1
Samuel C Bradford	lccn-nr92032574	eng	100
Samuel C Bradford	lccn-nr92032574	por	4
Samuel C Bradford	lccn-nr92032574	ger	2
Samuel C Bradford	lccn-nr92032574	spa	2
Samuel C Bradford	lccn-nr92032574	fre	1
Samuel C Bradford	lccn-nr92032574	cat	1
Samuel C Bradford	viaf-5578155648130618330004	eng	2
Cassidy R. Sugimoto	lccn-no2011051642	eng	80
Cassidy R. Sugimoto	lccn-no2011051642	fre	7
Cassidy R. Sugimoto	np-sugimoto,%20c%20r	eng	1
Matthias Weber	lccn-n99022610	eng	56
Matthias Weber	lccn-n99022610	ger	5
Matthias Weber	viaf-202148996015559752547	eng	3
José Luis Ortega	lccn-no2015011726	eng	28
José Luis Ortega	lccn-no2015011726	spa	17
José Luis Ortega	lccn-no2015011726	cat	1
José Luis Ortega	viaf-956155284875187062353	eng	5
Suzana Mueller	lccn-no2006017964	por	23
Suzana Mueller	lccn-no2006017964	eng	9
Suzana Mueller	lccn-no2006017964	spa	1
Suzana Mueller	np-mueller,%20suzana%20machado%20pinheiro	por	2
Suzana Mueller	np-mueller,%20suzana	por	1
Rodrigo Costas	viaf-4882155708720222580009	eng	7
Rodrigo Costas	viaf-4882155708720222580009	spa	4
Rodrigo Costas	viaf-4882155708720222580009	por	2
Rodrigo Costas	viaf-4882155708720222580009	fre	1
Rodrigo Costas	np-costas,%20rodrigo	eng	1
Rodrigo Costas	viaf-289034893	spa	3
Rodrigo Costas	viaf-289034893	glg	2
Rodrigo Costas	viaf-289034893	eng	1
Heting Chu	lccn-no93022700	eng	36
Heting Chu	lccn-no93022700	chi	14
Rigas Arvanitis	lccn-n85366088	fre	41
Rigas Arvanitis	lccn-n85366088	eng	21
Rigas Arvanitis	lccn-n85366088	spa	5
Rigas Arvanitis	lccn-n85366088	ara	4
Rigas Arvanitis	lccn-n85366088	ger	1
Birger Larsen	lccn-no2009151196	eng	18
Rafael Ruiz-Perez	lccn-n85309836	spa	53
